D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D01_Samsung_GalaxyS3Mini,-0.021585
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D02_Apple_iPhone4s,0.032916
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D03_Huawei_P9,0.027939
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D04_LG_D290,0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D07_Lenovo_P70A,0.035438
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D12_Sony_XperiaZ1Compact,0.033153
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D17_Microsoft_Lumia640LTE,0.0098065
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D21_Wiko_Ridge4G,0.021246
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D23_Asus_Zenfone2Laser,0.0062236
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D24_Xiaomi_RedmiNote3,0.010018
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],ref:D25_OnePlus_A3000,0.030821
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D01_Samsung_GalaxyS3Mini,with maxi-corr-0.021585
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D02_Apple_iPhone4s,with maxi-corr0.032916
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D02_Apple_iPhone4s,with maxi-corr0.032916
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0002.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056316
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D01_Samsung_GalaxyS3Mini,-0.021407
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D02_Apple_iPhone4s,0.032966
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D03_Huawei_P9,0.027907
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D04_LG_D290,0.056163
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D07_Lenovo_P70A,0.035214
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D12_Sony_XperiaZ1Compact,0.032986
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D17_Microsoft_Lumia640LTE,0.0098434
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D21_Wiko_Ridge4G,0.020977
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D23_Asus_Zenfone2Laser,0.0063643
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D24_Xiaomi_RedmiNote3,0.0098403
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],ref:D25_OnePlus_A3000,0.030834
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],voted D01_Samsung_GalaxyS3Mini,with maxi-corr-0.021407
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],voted D02_Apple_iPhone4s,with maxi-corr0.032966
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],voted D02_Apple_iPhone4s,with maxi-corr0.032966
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056163
D01_Samsung_GalaxyS3Mini/flat_frames/vid1/i/i_frame_0004.jpg block:[1_1],voted D04_LG_D290,with maxi-corr0.056163
